Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
194224:2630,403,42862046.04,"[1-126], [129-206], [208-250], [253-309], [312-386], [389-412]",42184815.0728
194225:2630,153,12869362.4055,"[1-23], [26-47], [49-85], [88-156], [177-178]",12740084.6595
194270:2632,18,1451182.59015,[56-73],1428510.33116
194303:2634,45,5275675.14914,"[56-66], [69-102]",5054666.75047
194304:2634,44,4938099.70161,"[1-43], [46-46]",4798473.90957
194305:2634,86,8765432.39431,[1-86],8578147.39481
194314:2635,248,28836897.3938,"[52-130], [133-301]",28128957.8631
194315:2635,459,42206114.4986,"[1-10], [13-314], [317-428], [431-452], [455-467]",41674541.0281
194317:2635,33,1543310.40746,[1-33],1465884.78313
194424:2644,633,68005174.4678,"[63-141], [144-195], [198-266], [268-421], [424-478], [481-531], [534-553], [556-708]",66676430.7713
194428:2644,461,36324988.2575,"[1-85], [87-122], [125-294], [296-465]",35990471.0547
194429:2644,1013,56616797.5456,"[1-4], [7-54], [57-147], [150-411], [413-742], [745-986], [988-1023]",56208076.9488
194439:2645,60,8126238.58368,"[46-77], [79-106]",7776547.98248
194455:2646,219,27802052.2991,"[45-64], [67-140], [142-255], [293-303]",27078470.5511
194464:2646,206,22252316.4611,"[1-127], [130-142], [145-210]",21855101.0594
194479:2646,435,37141890.9763,"[1-44], [165-232], [235-262], [265-374], [377-431], [434-489], [492-529], [531-566]",36722366.3764
194480:2646,1386,81627328.3588,"[1-8], [17-32], [34-205], [207-375], [377-387], [389-759], [762-956], [959-1402]",81030465.2214
194533:2648,823,77582107.6279,"[46-379], [382-415], [417-618], [620-872]",76617146.9463
194619:2649,80,10158183.9487,[31-110],9917198.46386
194631:2649,219,24575422.7189,"[1-42], [44-100], [102-169], [171-222]",23744746.6455
194643:2649,287,27918577.2984,[1-287],27443544.9412
194644:2649,418,33507394.0858,"[1-168], [171-181], [184-185], [187-319], [321-424]",33220036.717
194691:2651,241,29040703.3629,"[61-104], [107-155], [158-251], [254-268], [271-272], [275-289], [292-313]",28160228.3778
194699:2651,247,22886741.0254,"[1-30], [32-52], [55-64], [67-71], [73-154], [157-215], [218-238], [241-259]",22557026.3814
194702:2651,189,15688964.3524,"[1-138], [141-191]",15526046.8157
194704:2651,588,41251867.259,"[1-41], [44-545], [548-592]",40877778.1142
194711:2651,618,34468014.7761,"[1-7], [9-619]",34174758.7428
194712:2651,753,34067741.7667,"[1-56], [61-418], [420-625], [627-759]",33840181.2059
194735:2653,87,10234827.3762,"[44-71], [74-101], [104-130], [133-136]",9927073.02949
194778:2657,159,19469804.1467,"[60-118], [120-219]",18835338.6666
194789:2657,552,52739430.3156,"[1-18], [21-32], [34-80], [82-166], [168-269], [272-405], [409-414], [417-427], [430-566]",52083017.2807
194790:2657,45,3623643.04911,[1-45],3538586.49659
194825:2658,148,19406404.2283,"[72-117], [120-221]",18743080.7116
194896:2660,66,9019098.44094,"[34-55], [58-79], [82-103]",8553855.50848
194897:2660,105,12753342.105,"[1-6], [8-78], [80-107]",12300374.7904
194912:2663,1580,155206278.893,"[53-70], [72-96], [98-444], [446-450], [453-467], [470-561], [564-660], [663-813], [815-840], [843-864], [866-1004], [1007-1025], [1027-1067], [1069-1137], [1140-1166], [1168-1249], [1251-1304], [1307-1444], [1447-1487], [1489-1503], [1506-1662]",151953604.639
194914:2663,38,2475028.01354,[1-38],2438635.90664
194915:2663,74,4665217.47571,[1-74],4623813.56125
195013:2669,437,56397496.7998,"[94-144], [146-185], [187-206], [208-299], [302-324], [326-366], [369-447], [450-526], [528-541]",54760195.2527
195014:2669,145,15550807.5362,"[1-6], [9-119], [121-148]",15377974.708
195015:2669,13,1321119.70737,[1-13],1199879.12469
195016:2669,552,48739270.9565,"[1-21], [23-55], [58-63], [65-174], [177-184], [186-241], [243-246], [248-251], [254-367], [370-422], [425-560], [563-569]",48230193.6442
195099:2670,188,24558281.373,"[70-144], [147-186], [189-208], [211-224], [227-265]",23784695.8702
195109:2671,144,20243780.3064,[98-241],19597567.3846
195112:2671,24,2863484.28433,"[1-12], [15-26]",2451666.0652
195113:2671,569,58095408.4477,"[1-209], [212-388], [391-403], [406-419], [422-492], [495-579]",57163787.0302
195114:2671,101,8711606.24902,"[1-69], [72-103]",8558464.89144
195115:2671,34,1624031.33493,"[1-7], [10-36]",1605245.56589
195147:2673,419,53718471.9347,"[132-282], [285-294], [297-331], [334-363], [366-442], [445-536], [539-562]",52411946.5669
195163:2675,269,37023055.2571,"[72-138], [140-224], [227-240], [243-243], [246-347]",35768839.32
195164:2675,64,7954621.61699,[1-64],7781002.80486
195165:2675,268,28921608.8675,"[1-4], [7-41], [44-54], [56-153], [156-260], [263-277]",28434669.3664
195251:2683,243,31400463.819,"[1-131], [134-137], [140-152], [154-165], [167-249]",30543874.7119
195303:2686,295,39386478.1179,"[109-191], [194-277], [280-310], [312-316], [318-409]",37829397.4404
195304:2686,1206,108824617.129,"[1-3], [6-22], [27-80], [83-100], [103-154], [157-341], [344-588], [590-727], [729-1003], [1006-1079], [1083-1140], [1143-1229]",107741430.126
195378:2691,1029,100813412.21,"[90-117], [120-127], [130-185], [187-204], [206-302], [305-542], [544-565], [567-645], [647-701], [703-734], [737-1120], [1122-1133]",99614256.8343
195390:2691,399,20275676.1682,"[1-1], [4-27], [30-145], [147-183], [186-187], [190-208], [210-213], [215-410]",20151968.7498
195396:2692,79,11206892.0613,"[49-55], [58-63], [66-131]",10675715.3195
195397:2692,1188,118734908.214,"[1-10], [12-89], [92-120], [123-141], [143-251], [253-253], [256-475], [478-525], [527-608], [611-776], [779-970], [972-1121], [1123-1181], [1184-1198], [1200-1209]",117203510.862
195398:2692,1756,91465508.0408,"[3-137], [139-494], [497-585], [587-817], [820-824], [827-1225], [1228-1307], [1309-1712], [1721-1736], [1741-1752], [1767-1795]",90661846.6106
195399:2692,392,13474224.9499,"[1-192], [194-382], [384-394]",13349240.5696
195530:2698,399,47005334.9721,"[1-80], [82-104], [107-156], [159-300], [302-405]",46298098.313
195540:2700,250,32695953.769,"[68-123], [126-137], [140-283], [286-323]",31942847.0696
195551:2701,16,2283440.50813,[91-106],1996613.75276
195552:2701,1766,156332977.153,"[1-21], [23-27], [30-147], [149-155], [158-182], [185-287], [290-349], [352-469], [472-815], [818-823], [825-883], [885-1152], [1154-1300], [1303-1391], [1394-1789]",154457498.262
195633:2710,3,463221.592858,[40-42],334085.520762
195647:2710,41,5354564.52637,[1-41],5227552.96397
195649:2710,242,28905299.8566,"[1-69], [72-151], [154-181], [183-247]",28417206.4595
195655:2710,490,47209331.226,"[1-129], [131-184], [186-260], [263-350], [353-446], [448-483], [485-498]",46643761.4654
195656:2710,362,28909250.5302,[1-362],28683645.0128
195658:2710,382,24812102.3113,"[1-37], [40-362], [364-382], [384-386]",24531920.2406
195749:2711,128,17853465.0591,"[1-8], [10-33], [36-131]",17045909.224
195757:2711,201,25155257.9401,"[1-82], [85-115], [118-161], [163-206]",23901102.0188
195758:2711,18,2111511.40538,[1-18],2025709.8585
195774:2712,815,97332798.0698,"[1-13], [16-137], [139-151], [154-162], [164-256], [258-276], [279-362], [365-466], [469-618], [620-649], [651-830]",95473858.0324
195775:2712,166,14007339.0515,"[1-57], [60-100], [103-170]",13788857.066
195776:2712,469,34423343.55,"[1-63], [66-283], [286-337], [340-399], [401-409], [411-477]",34138938.9412
195841:2713,17,1723982.45296,[74-90],1575315.25279
195868:2714,202,26467562.3794,"[1-88], [90-107], [110-205]",25757888.1867
195915:2717,838,95839718.4225,"[1-109], [111-275], [278-390], [393-417], [419-429], [432-505], [507-747], [749-785], [787-828], [830-850]",94349502.3853
195916:2717,208,17992050.0863,"[1-16], [19-68], [71-212]",17838507.1627
195917:2717,4,329385.518618,[1-4],325652.115039
195918:2717,61,4926237.33351,"[1-44], [46-46], [49-64]",4870842.07352
195919:2717,15,1184129.71766,[1-15],1175101.57002
195923:2717,14,1091739.18475,[1-14],1083552.82525
195925:2717,12,926246.613586,[1-12],918250.279349
195926:2717,32,2437490.53291,"[1-1], [3-19], [21-34]",2420920.75761
195929:2717,29,2145991.26373,[1-29],2130567.20964
195930:2717,590,38335252.3761,"[1-77], [80-176], [179-526], [529-596]",37954530.1479
195937:2717,397,21308974.0903,"[1-28], [31-186], [188-400]",21166616.3394
195947:2718,65,9330349.95005,"[23-62], [64-88]",6518013.247
195948:2718,547,63754893.2191,"[51-116], [119-144], [147-147], [150-352], [355-369], [372-402], [404-500], [503-540], [543-565], [567-602], [605-615]",62452193.1167
195950:2718,1562,112427527.543,"[1-71], [73-138], [141-169], [172-332], [335-350], [353-382], [385-421], [424-450], [453-483], [485-616], [619-715], [718-787], [789-800], [803-829], [831-831], [833-1587]",111145212.919
195963:2719,8,687150.503478,[54-61],661682.189029
195970:2720,41,5952677.76589,"[44-49], [51-85]",2368288.36503
196019:2723,15,2206533.01498,[54-68],1907144.05579
196027:2723,185,22432772.8594,"[1-55], [58-119], [121-155], [158-190]",22038026.9469
196046:2724,29,4249581.42498,[12-40],3975197.67672
196047:2724,70,9768448.80378,"[1-64], [70-75]",9139745.99713
196048:2724,49,6206819.45416,"[1-44], [46-48], [51-52]",5952304.83391
196197:2726,499,64453154.2597,"[58-122], [125-179], [181-311], [313-516], [519-562]",62890659.9547
196199:2726,524,51006987.3298,"[1-33], [36-83], [86-118], [121-147], [150-237], [239-285], [287-534]",50400466.9127
196200:2726,68,5749677.99984,[1-68],5700922.40666
196202:2726,104,8418374.66732,"[3-61], [64-108]",8331715.1105
196203:2726,131,8672904.46074,"[1-102], [107-135]",8615033.76438
196218:2728,756,91222667.042,"[55-199], [201-224], [226-393], [396-494], [496-737], [739-741], [744-752], [754-757], [759-820]",89653686.6219
196239:2728,1006,79045950.4741,"[1-59], [62-154], [157-272], [274-373], [375-432], [435-465], [468-497], [503-647], [650-706], [709-1025]",78434083.9217
196249:2729,35,5191452.03532,"[63-77], [80-99]",4946263.65983
196250:2729,424,54317865.7069,"[1-2], [5-265], [267-426], [430-430]",53100795.9509
196252:2729,38,3885591.60021,[1-38],3842748.34139
196334:2732,276,37578364.866,"[59-111], [113-123], [126-132], [135-167], [170-193], [196-257], [259-267], [270-289], [292-348]",36662433.3797
196349:2733,190,27226912.9513,"[65-84], [86-154], [157-244], [246-258]",26472205.454
196357:2733,4,451345.920267,[1-4],416038.537034
196359:2733,2,223090.174144,[1-2],186170.534381
196362:2733,88,9389321.82086,[1-88],9188078.87524
196363:2733,32,3259521.65438,"[1-8], [11-34]",3188572.57373
196364:2733,1286,97855371.3798,"[1-93], [96-136], [139-365], [368-380], [382-601], [603-795], [798-884], [887-1196], [1199-1200], [1203-1302]",96951888.0584
196437:2734,166,14476113.2464,"[1-1], [3-74], [77-169]",14356290.3247
196438:2734,1266,84428355.6307,"[1-181], [184-699], [701-1269]",83837595.5479
196452:2736,995,114697463.936,"[82-112], [114-490], [493-586], [589-618], [622-668], [671-716], [718-726], [728-956], [958-1004], [1007-1091]",112123720.066
196453:2736,1630,114387552.887,"[1-74], [77-145], [147-669], [673-714], [717-799], [802-988], [991-1178], [1180-1180], [1182-1248], [1250-1528], [1531-1647]",113459956.744
196495:2737,158,21103325.7196,"[114-180], [182-272]",20630217.5201
196509:2737,68,7168137.68713,[1-68],7085068.01517
196531:2739,370,48596740.6,"[62-150], [152-253], [256-285], [288-302], [305-422], [425-440]",47718534.2722
198049:2797,55,1746887.97474,"[1-11], [14-57]",1715502.05798
198050:2797,154,4680131.25718,[2-155],4610325.35011
198063:2797,289,7969354.2243,"[1-37], [40-72], [74-124], [127-294]",7883900.50589
198116:2798,73,5928717.47774,"[36-52], [54-55], [58-96], [98-112]",5722462.44763
198207:2805,97,6831799.93918,[1-97],6746150.63082
198208:2805,204,12808009.4699,"[1-92], [94-134], [137-147], [150-209]",12626687.1389
198210:2805,221,12077137.6783,[1-221],11990022.8824
198212:2805,574,25502156.2134,[1-574],25222808.0268
198213:2805,107,4053906.06073,[1-107],3959510.84192
198215:2805,12,436716.288695,[1-12],430332.729355
198230:2806,1358,100270856.221,"[1-33], [36-57], [60-235], [237-324], [326-388], [390-459], [462-625], [627-651], [653-805], [808-811], [814-948], [950-1090], [1093-1103], [1106-1332], [1335-1380]",99381863.5592
198249:2806,7,359245.030891,[1-7],356304.294196
198269:2807,199,25847444.1555,"[3-199], [201-201], [203-203]",25103202.6575
198271:2807,784,75423597.8549,"[1-91], [93-170], [173-299], [301-450], [453-513], [516-616], [619-628], [631-791], [793-797]",74556907.6675
198272:2807,608,41157611.1448,"[1-185], [188-245], [248-314], [317-433], [436-444], [454-625]",40697345.8278
198346:2810,14,448635.437311,[44-57],390961.358443
198372:2812,58,6923669.84925,[57-114],6710878.91003
198485:2816,167,21392213.6677,"[68-109], [112-134], [136-181], [184-239]",21098228.983
198487:2816,1598,129530273.072,"[1-145], [147-514], [517-668], [671-733], [736-757], [760-852], [854-994], [997-1434], [1437-1612]",128096942.495
198522:2819,142,18053989.6418,"[65-144], [147-208]",17702560.8633
198941:2840,185,22583632.6314,"[102-189], [191-220], [222-241], [243-249], [252-291]",22226496.8896
198954:2842,168,20220211.2645,"[108-156], [159-277]",19892516.9672
198955:2842,1524,119705152.774,"[1-45], [47-50], [53-220], [223-269], [271-284], [286-338], [340-580], [583-742], [744-910], [913-946], [949-1162], [1165-1169], [1172-1182], [1185-1188], [1190-1246], [1249-1304], [1306-1467], [1470-1485], [1487-1552]",118397330.11
198969:2843,1204,110720331.804,"[58-81], [84-247], [249-323], [325-365], [367-413], [416-466], [468-643], [646-918], [920-1011], [1013-1175], [1178-1236], [1239-1277]",109506878.782
199008:2847,558,62448099.4055,"[75-93], [95-121], [124-208], [211-331], [333-373], [376-482], [485-605], [608-644]",61368043.6564
199011:2847,26,2137473.50045,"[1-11], [13-27]",2117749.08821
199021:2848,1420,129077150.541,"[59-88], [91-128], [130-133], [136-309], [311-333], [335-410], [414-469], [471-533], [535-563], [565-1223], [1226-1479], [1481-1494]",127425108.132
199318:2858,74,10525312.1331,[65-138],10180801.428
199319:2858,973,100171697.378,"[1-7], [9-223], [226-277], [280-348], [351-358], [360-422], [424-490], [492-493], [496-612], [615-642], [645-720], [723-728], [730-731], [734-741], [744-943], [945-997]",98668332.3272
199336:2858,968,62690137.7066,"[1-33], [36-122], [125-231], [234-614], [617-789], [791-977]",62220063.8669
199356:2861,134,17625157.8586,"[95-121], [123-168], [171-205], [208-233]",17323921.8364
199409:2870,1267,113038345.895,"[25-54], [56-89], [91-204], [206-290], [293-583], [586-602], [604-1014], [1016-1300]",111666663.773
199428:2871,575,62199765.7109,"[61-197], [200-210], [212-382], [387-414], [417-436], [439-530], [533-648]",61177657.3189
199429:2871,148,12449344.6809,"[1-28], [30-36], [39-55], [58-101], [103-148], [151-156]",12309638.6024
199435:2872,1527,129696178.162,"[63-106], [109-261], [263-579], [582-654], [656-696], [699-1034], [1037-1144], [1147-1327], [1330-1411], [1414-1431], [1434-1441], [1444-1487], [1489-1610]",128102858.921
199436:2872,742,37383143.7724,"[1-113], [116-254], [257-675], [678-748]",37075730.3124
199564:2873,3,401355.23409,[1-3],391101.830753
199569:2873,363,36666811.4702,"[1-2], [5-136], [139-367]",36205630.7186
199570:2873,17,1534953.22194,[1-17],1465909.68972
199571:2873,558,44086757.1617,"[1-184], [186-360], [363-561]",43485338.8101
199572:2873,317,20688727.3249,[1-317],20440959.4126
199573:2873,22,1339610.26651,[1-22],1313828.08264
199574:2873,242,13948707.2203,"[1-53], [56-153], [156-246]",13857530.5722
199608:2875,2343,172773408.74,"[60-157], [159-209], [211-341], [344-390], [392-461], [464-800], [802-1064], [1067-1392], [1395-1630], [1633-1904], [1907-1962], [1965-2252], [2255-2422]",171034550.791
199698:2880,55,6675820.85828,"[72-94], [96-127]",6544369.78986
199699:2880,751,70369977.1674,"[1-154], [157-169], [172-410], [412-756]",69414572.9698
199703:2880,535,34130218.8243,"[1-94], [97-482], [485-539]",33869270.7242
199739:2882,109,8482834.87895,[66-174],8362905.05072
199745:2883,7,42466.3682748,[137-143],41353.684555
199751:2884,24,2969397.25265,"[103-119], [121-127]",2857521.75177
199752:2884,316,33669812.8757,"[1-141], [144-180], [182-186], [188-211], [214-322]",33042150.9356
199753:2884,59,5603039.75191,[1-59],5485919.6371
199754:2884,990,70837680.9574,"[1-203], [205-325], [328-457], [459-607], [610-613], [615-806], [808-998]",70128682.3876
199804:2886,549,58585276.625,"[78-88], [90-181], [183-235], [238-278], [281-290], [292-519], [522-575], [577-628], [631-638]",57905917.9406
199812:2887,699,72678481.557,"[70-141], [144-163], [182-211], [214-471], [474-505], [508-557], [560-571], [574-623], [626-751], [754-802]",71640871.524
199833:2888,1227,104994790.107,"[1-13], [16-103], [105-250], [253-493], [496-794], [797-1032], [1034-1185], [1188-1239]",103406248.944
199862:2891,84,11280515.7772,[59-142],10852224.8348
199864:2891,478,52640304.1046,"[1-87], [89-89], [92-103], [106-372], [374-385], [388-486]",51604866.0674
199867:2891,316,27521756.4066,"[1-134], [136-172], [174-218], [221-320]",27130669.0077
199868:2891,26,1592849.97725,[1-26],1578866.85432
199875:2892,264,33303503.6632,"[70-150], [152-334]",32019020.339
199876:2892,366,36910050.6164,"[1-19], [22-95], [97-249], [252-272], [274-340], [343-362], [365-376]",36479377.1643
199877:2892,870,63548892.2732,"[1-173], [175-605], [607-701], [703-873]",62994697.9468
199960:2893,397,46734852.0062,"[72-139], [141-197], [204-232], [235-363], [365-367], [370-380], [383-459], [461-466], [469-485]",46087211.5316
199961:2893,291,26829035.8815,"[1-211], [213-292]",26490908.9467
199973:2896,24,2254236.33738,[73-96],2190166.49023
200041:2898,1012,100222579.786,"[62-83], [85-157], [162-274], [277-318], [321-335], [337-386], [388-389], [392-400], [402-568], [571-593], [595-646], [649-728], [731-860], [862-930], [932-1096]",98863588.105
200042:2898,535,32654893.0429,"[1-110], [112-536]",32363999.1862
200049:2898,177,8737481.99626,[1-177],8690132.01455
200075:2900,498,56167152.4003,"[76-139], [142-232], [256-326], [329-422], [425-431], [434-500], [502-605]",55469808.7484
200091:2902,1611,141955487.565,"[67-67], [70-151], [154-172], [174-187], [190-196], [199-201], [204-425], [428-535], [537-607], [610-879], [881-943], [946-999], [1001-1025], [1027-1132], [1135-1339], [1341-1433], [1435-1450], [1453-1523], [1526-1664], [1667-1680], [1683-1710]",140317828.235
200152:2905,79,5560188.83541,[74-152],5392907.03608
200180:2908,18,2229620.73087,[1-18],2176756.68171
200188:2908,344,35303927.9948,"[1-24], [27-28], [31-76], [79-271], [274-352]",34804875.0516
200190:2908,858,63771198.6007,"[1-4], [6-76], [79-143], [146-159], [162-256], [258-321], [324-401], [403-453], [456-457], [460-565], [567-588], [591-591], [593-595], [597-646], [649-880]",62907030.9293
200229:2911,614,50157852.222,"[1-33], [41-219], [222-244], [247-290], [293-624], [627-629]",49392825.8487
200243:2912,69,9777311.75221,"[69-103], [106-139]",9491781.65203
200244:2912,611,68329739.1719,"[3-304], [307-442], [445-507], [510-619]",67231134.5254
200245:2912,352,29154063.3269,"[1-103], [105-128], [131-248], [251-357]",28887362.2021
200368:2918,109,10438703.892,[72-180],10250758.0301
200369:2918,675,52856151.9692,"[1-5], [8-61], [64-360], [363-439], [441-578], [580-603], [606-684], [686-686]",52279516.1527
200381:2920,187,25056177.9473,"[8-15], [18-36], [38-89], [91-198]",24593721.0564
200466:2926,141,6046151.25819,[134-274],5922431.64727
200473:2927,1213,100707334.968,"[96-157], [159-224], [226-304], [306-469], [472-524], [527-542], [545-619], [622-688], [691-730], [733-738], [740-1324]",99729617.179
200491:2928,346,40242540.0431,"[87-107], [110-149], [152-157], [160-197], [199-237], [240-270], [273-273], [276-334], [336-360], [363-448]",39497722.3839
200515:2929,87,12433775.3945,[97-183],12044283.3606
200519:2929,745,76593663.9667,"[1-111], [114-126], [129-136], [138-224], [227-258], [261-350], [353-611], [613-757]",75551595.8103
200525:2932,896,96986153.5298,"[77-149], [151-164], [166-190], [193-276], [278-311], [314-464], [467-488], [491-674], [676-704], [707-755], [757-895], [898-937], [939-990]",95457605.5838
200532:2932,59,2923454.54122,[1-59],2897322.11235
200599:2934,61,8880167.45756,"[75-129], [132-137]",8547683.27351
200600:2934,1118,111356474.153,"[1-183], [186-299], [302-313], [316-324], [327-334], [336-397], [399-417], [420-526], [529-591], [594-609], [611-660], [663-823], [826-900], [902-943], [945-1139], [1141-1142]",109658959.1
200961:2974,115,808931.119037,[1-115],803796.082624
200976:2975,71,3355059.00903,[94-164],3268176.53443
200990:2976,69,9337937.10033,[75-143],8945944.61151
200991:2976,1034,98931030.3779,"[1-42], [44-44], [47-80], [83-175], [178-181], [184-252], [255-632], [635-916], [918-1017], [1019-1049]",97295057.9041
200992:2976,578,35981706.2253,"[1-405], [408-434], [436-581]",35730927.3992
201062:2978,193,26994380.8907,[78-270],26197447.9901
201097:2980,412,51901401.2297,"[83-136], [138-245], [248-300], [303-370], [372-429], [432-502]",50516981.3822
201114:2981,14,2168035.1624,[1-14],1953512.99646
201115:2981,75,10578636.4408,[1-75],10172363.1873
201159:2983,142,21087035.4167,[70-211],19708207.8109
201164:2983,409,48868293.7941,"[1-8], [10-94], [96-125], [128-178], [180-198], [200-271], [274-416], [418-418]",47853506.5939
201168:2983,725,61754565.6487,"[1-37], [39-275], [278-481], [483-558], [560-730]",60968335.332
201173:2983,584,35640559.1376,"[1-194], [197-586]",35386385.65
201174:2983,447,21590883.8141,"[1-214], [216-263], [265-339], [342-451]",21395327.9489
201193:2984,19,1335800.76569,[1-19],1288933.76626
201196:2984,811,47273691.3199,"[1-238], [241-278], [286-299], [302-338], [341-515], [518-720], [723-789], [803-841]",46832918.1674
201197:2984,23,1112977.48818,[1-23],1060860.28114
201202:2984,437,17394308.3421,[1-437],17211263.6594
201229:2987,73,10593072.2577,"[1-5], [8-26], [29-77]",10324472.0367
201278:2991,2089,171741555.57,"[62-163], [166-229], [232-256], [259-316], [318-595], [598-938], [942-974], [976-1160], [1163-1304], [1306-1793], [1796-1802], [1805-1906], [1909-1929], [1932-2174]",169616829.596
201554:2995,56,8304251.76357,"[70-86], [88-114], [116-127]",8008547.72228
201602:2996,559,69836326.2064,"[76-81], [83-194], [196-494], [496-614], [617-639]",67956645.3235
201611:2997,96,14941280.4078,"[87-145], [149-182], [184-186]",13953314.7034
201613:2997,649,75535607.9947,"[1-42], [44-49], [53-210], [213-215], [218-225], [228-659]",74526145.7932
201624:2998,157,24982499.8964,"[83-92], [95-240], [270-270]",23803624.4995
201625:2998,732,72542684.0431,"[211-312], [315-348], [351-416], [418-588], [591-671], [673-758], [760-791], [793-952]",71724331.8074
201657:3000,40,6445921.26099,"[77-93], [95-108], [110-118]",5909641.25341
201658:3000,287,38634108.9546,"[1-19], [21-118], [121-136], [139-292]",37862948.1541
201668:3002,80,12545054.9703,[78-157],11900353.5602
201669:3002,160,22490340.2861,"[1-9], [12-136], [139-141], [143-165]",21912536.4435
201671:3002,990,95289166.2505,"[1-120], [122-174], [177-462], [464-482], [485-499], [501-545], [547-571], [574-614], [617-766], [768-896], [899-911], [914-1007]",94004842.0568
201678:3002,120,8359837.22252,[1-120],8274905.77029
201679:3002,484,28772185.9764,"[1-110], [112-241], [244-298], [302-321], [324-461], [463-493]",28480323.8626
201692:3003,102,15641894.2499,"[78-81], [83-180]",15111028.0714
201705:3005,121,17876302.0468,"[65-73], [75-109], [111-187]",17299768.2941
201706:3005,62,8346310.1409,[1-62],8073308.86223
201707:3005,939,92274035.5539,"[1-23], [26-42], [45-115], [118-130], [133-160], [163-276], [279-471], [473-511], [514-545], [547-570], [572-622], [625-735], [738-806], [809-876], [879-964]",91212064.883
201708:3005,87,5757606.82602,[1-87],5712953.12952
201718:3006,56,7605951.04144,[58-113],7410068.68637
201727:3007,119,17508411.0732,[67-185],16941283.9752
201729:3007,232,29127209.2166,"[6-20], [22-75], [77-126], [129-154], [156-216], [219-244]",28685521.1618
201794:3009,43,5884724.12206,[58-100],5651331.54813
201802:3011,224,32933625.2722,"[68-209], [211-214], [216-220], [223-288], [290-296]",31533743.0969
201816:3011,155,15793344.4245,"[1-72], [74-105], [107-157]",15588179.491
201817:3011,274,24497522.1569,[1-274],24137258.1027
201818:3011,1,82357.9598306,[1-1],80224.8886128
201819:3011,240,18511503.0739,"[1-94], [96-241]",18272159.7276
201824:3011,487,31278071.6663,"[1-139], [141-176], [179-286], [289-492]",31019147.3533
202012:3016,30,4221773.1915,"[98-121], [126-131]",3307325.39755
202013:3016,53,7057612.06166,"[1-2], [5-35], [38-57]",6204080.1941
202014:3016,187,21765897.6501,"[1-5], [8-14], [16-18], [20-77], [79-102], [104-174], [177-190], [192-196]",19784101.3741
202016:3016,1004,78657867.058,"[1-48], [51-134], [137-177], [179-743], [745-831], [834-890], [893-896], [898-932], [934-1016]",77980707.7976
202044:3018,379,48392370.8989,"[84-101], [104-266], [268-461], [463-466]",47318560.9385
202045:3018,804,71098599.1732,"[1-30], [33-72], [75-528], [531-601], [603-785], [788-809], [822-825]",70099279.8391
